ID,Target Shape,Target Bins,Selected Shape,Selected Bin,Time Taken
,Blue_Circle,1 & 3,Red_Square,2,2.5
,Blue_Circle,2 & 4,Blue_Circle,3,1.579998
,Blue_Circle,2 & 4,Red_Tri,3,2.380001
,Blue_Circle,2 & 4,Red_Square,3,1.959999
,Blue_Circle,2 & 4,Red_Square,2,1.48
,Blue_Circle,2 & 4,Red_Tri,2,1.32
,Blue_Circle,2 & 4,Green_Square,2,2.600002
,Blue_Circle,2 & 4,Red_Tri,2,1.120003
,Blue_Circle,2 & 4,Green_Square,2,1.379997
,Blue_Circle,2 & 4,Green_Tri,2,0.4800034
,Blue_Circle,2 & 4,Red_Square,2,1.559998
,Green_Tri,3 & 4,Green_Circle,2,1.380001
,Green_Tri,3 & 4,Green_Square,2,1.300003
,Green_Tri,3 & 4,Green_Circle,2,1.259995
,Green_Tri,3 & 4,Green_Circle,2,0.8000031
,Green_Tri,3 & 4,Green_Circle,3,1.300003
,Green_Tri,3 & 4,Green_Circle,3,1.739998
,Green_Tri,3 & 4,Red_Tri,3,1.18
,Green_Tri,3 & 4,Blue_Tri,3,0.9599991
,Green_Tri,3 & 4,Blue_Tri,3,1
,Green_Tri,3 & 4,Blue_Tri,2,1.540001
,Green_Tri,3 & 4,Green_Square,3,1.339996
,Green_Tri,3 & 4,Red_Tri,1,2.460007
,Green_Tri,3 & 4,Red_Tri,1,1.979996
,Green_Tri,1 & 2,Blue_Tri,1,1.220001
,Green_Circle,2 & 3,Red_Square,3,4.18
,Green_Circle,1 & 4,Green_Circle,1,1.559998
,Green_Circle,1 & 4,Green_Circle,3,0.7199936
,Blue_Circle,4 & 1,Blue_Square,3,1.440002
,Blue_Circle,4 & 1,Red_Circle,3,1.059998
,Blue_Circle,4 & 1,Red_Circle,3,0.6399994
,Blue_Circle,4 & 1,Red_Circle,3,0.9200058
,Blue_Circle,4 & 1,Blue_Tri,3,1.979996
,Blue_Circle,4 & 1,Blue_Square,3,0.5800018
,Blue_Circle,4 & 1,Blue_Square,3,1
,Blue_Circle,4 & 1,Blue_Tri,3,0.9599991
,Blue_Circle,4 & 1,Red_Circle,3,0.840004
,Blue_Circle,4 & 1,Green_Circle,3,1.099998
,Blue_Circle,2 & 3,Blue_Tri,3,1.059998
,Blue_Circle,2 & 3,Blue_Circle,3,2.800003
,Blue_Circle,1 & 4,Blue_Square,3,1.12001

