ID,Mouse Position (x/y),Current Time (ms)
,(778/426),33680
,(778/426),33780
,(778/426),33900
,(1351/309),34040
,(1460/132),34180
,(1445/79),34320
,(1508/29),34460
,(1509/29),34560
,(1509/29),34780
,(1509/29),34780
,(1509/29),34940
,(1509/29),35060
,(1509/29),35180
,(1509/29),35300
,(1509/29),35420
,(1509/29),35540
,(1509/29),35640
,(1509/29),35740
,(1509/29),35860
,(1509/29),35980
,(1509/29),36040
,(1509/29),36200
,(1478/69),36340
,(1438/108),36460
,(1434/110),36580
,(1434/110),36680
,(1434/110),36780
,(1434/110),36900
,(1069/216),37020
,(881/332),37200
,(878/334),37340
,(1216/177),37400
,(1244/169),37520
,(1454/66),37640
,(1487/54),37760
,(1487/54),37900
,(1487/54),38000
,(1487/54),38120
,(1487/54),38220
,(1487/53),38360
,(1487/53),38480
,(1487/53),38600
,(1487/53),38780
,(1487/53),38900
,(1375/105),39040
,(283/653),39160
,(238/862),39260
,(523/742),39500
,(578/716),39620
,(578/715),39760
,(469/452),39900
,(439/427),40020
,(438/426),40120
,(439/428),40260
,(439/428),40400
,(415/421),40620
,(-74/331),40740
,(-192/290),40860
,(-193/290),40980
,(-193/290),41140
,(-193/290),41260
,(-196/240),41400
,(-205/202),41520
,(-207/202),41640
,(-207/202),41760
,(-207/202),41860
,(-207/202),42000
,(-207/202),42140
,(-207/202),42240
,(-207/202),42380
,(-207/202),42560
,(-207/202),42660
,(489/2029),42780

