ID,Mouse Position (x/y),Current Time (ms)
11,(711/442),62820
11,(1325/178),62940
11,(1325/178),63040
11,(1411/121),63160
11,(1501/45),63280
11,(1473/77),63440
11,(1473/77),63560
11,(1473/77),63660
11,(1473/73),63740
11,(1473/73),63860
11,(1473/73),64000
11,(1473/73),64120
11,(1473/73),64280
11,(1473/73),64380
11,(1473/73),64500
11,(1473/73),64620
11,(1473/73),64740
11,(1473/73),64860
11,(1473/73),64980
11,(1473/73),65060
11,(1473/73),65180
11,(1470/82),65320
11,(1467/91),65440
11,(1467/91),65540
11,(1467/91),65640
11,(1274/163),65760
11,(945/302),65900
11,(899/325),66040
11,(899/325),66159.99
11,(1440/93),66240
11,(1436/93),66340
11,(1445/77),66460
11,(1448/72),66580
11,(1448/72),66720
11,(1448/72),66880
11,(1448/72),67000
11,(1448/72),67119.99
11,(785/426),67320
11,(463/582),67439.99
11,(463/582),67540
11,(463/582),67640
11,(463/631),67740
11,(479/673),67880
11,(543/695),67979.99
11,(547/695),68100
11,(549/694),68240
11,(557/693),68340
11,(566/695),68460
11,(569/695),68580
11,(575/696),68720
11,(557/648),68860
11,(506/526),69000
11,(505/518),69119.99
11,(505/507),69320
11,(498/482),69460
11,(494/480),69580
11,(494/481),69700
11,(536/594),69820
11,(551/631),69979.99
11,(551/633),70119.99
11,(550/635),70240
11,(503/684),70360
11,(502/687),70500
11,(502/687),70600
11,(502/687),70700
11,(502/687),70820
11,(502/687),70920
11,(502/687),71040
11,(556/699),71159.99
11,(594/700),71299.99
11,(593/700),71400
11,(337/700),71540
11,(313/700),71680
11,(308/700),71799.99
11,(308/700),71920
11,(308/700),72020
11,(373/708),72240
11,(561/699),72340
11,(570/697),72460
11,(573/696),72580
11,(565/678),72700
11,(450/482),72820
11,(425/447),72960
11,(425/447),73080
11,(427/451),73260
11,(684/619),73380
11,(833/666),73479.99
11,(819/682),73600
11,(810/686),73740
11,(809/686),73860
11,(809/686),73979.99
11,(809/686),74100
11,(809/686),74280
11,(808/686),74400
11,(808/686),74520
11,(808/686),74619.99
11,(178/484),74760
11,(-252/279),74880
11,(-277/267),75000
11,(-277/267),75119.99
11,(344/2056),75340
11,(360/2048),75460
11,(452/2028),75580
11,(485/2023),75680
11,(486/2023),75780

